species common name,species latin name,family,system,location,sample size,,%,conservation designation,secondary conservation,Red list category,trophic guild,migratory status,fish size [mm],life stage,journal,journal IF,study,
bull trout,Salvelinus confluentus,Salmonidae,freshwater,USA,268,217,81,Y,,VU,filter feeder; inventivory,anadromous,472.75,adult; juveniles,Environmental Biology of Fishes,1.6,Goetz et al. 2021,
red snapper,Lutjanus campechanus,Lutjanidae,marine,USA,44,36,82,Y,,VU,piscivory; invertivory,resident,667,,Marine and Coastal Fisheries,1.7,Runde et al. 2021,
vermilion rockyfish,Sebastes miniatus,Sebastidae,marine,USA,55,37,67,,,NE,,resident,,,Marine Environmental Research,3.3,Burns et al. 2021,
hornyhead turbot,Pleuronichthys verticalis,Pleuronectidae,marine,USA,15,14,93,N,PA,LC,invertivory,resident,,,Marine Environmental Research,3.3,Burns et al. 2021,
white croaker,Genyonemus lineatus,Sciaenidae,marine,USA,82,48,59,N,,LC,piscivory; invertivory,resident,,,Marine Environmental Research,3.3,Burns et al. 2021,
red drum,Sciaenops ocellatus,Sciaenidae,marine,USA,67,59,88,Y,,LC,piscivory; invertivory,resident,533,,Marine and Coastal Fisheries,1.7,Nelson et al. 2021,
spotted seatrout,Cynoscion nebulosus,Sciaenidae,marine,USA,38,33,87,Y,,LC,piscivory; invertivory,resident,,,Marine and Coastal Fisheries,1.7,Nelson et al. 2021,
gulf sturgeon,Acipenser oxyrinchus,Acipenseridae,marine,USA,10,6,60,Y,,VU,invertivory,anadromous,1429,adult,Journal of Applied Ichthyology,1.2,Marbury et al. 2021,
walleye,Sander vitreus,Percidae,freshwater,USA,359,,,N,,LC,piscivory,resident,517.5,adult,Journal of Great Lakes Research,2.2,Turner et al. 2021,
sea bream,Archosargus rhomboidalis,Sparidae,marine,USA,27,18,67,N,PA,LC,omnivory,resident,222,adult,"Estuarine, Coastal and Shelf Science",2.8,Kendall et al. 2021,
deacon rockfish,Sebastes diaconus,Sebastidae,marine,USA,11,6,55,,,NE,filter feeder,,362,,Environmental Biology of Fishes,1.6,Rasmuson et al. 2021,
atlantic salmon,Salmo salar,Salmonidae,freshwater,USA,1611,,,N,,LC,piscivory; invertivory,anadromous,185,juvenile,Transactions of the American Fisheries Society,1.4,Molina-Moctezuma et al. 2021,
giant sea bass,Stereolepis gigas,Polyprionindae,marine,USA,34,32,94,Y,,CR,filter feeder,resident,,adult,Environmental Biology of Fishes,1.6,Clevestine & Lowe 2021,
grass carp,Ctenopharyngodon idella ,Xenocyprididae,freshwater,USA,70,27,39,N,,LC,herbivory,resident,917,adult,North American Journal of Fisheries Management,1.1,Harris et al. 2021,
muskellunge,Esox masquinongy,Esocidae,freshwater,USA,133,58,44,N,,LC,piscivory,resident,1007,,Journal of Great Lakes Research,2.2,Hessenauer et al. 2021,
white shark,Carcharodon carcharias,Lamnidae,marine,USA,18,,,Y,,VU,piscivory,resident,1563,juvenile,Frontiers in Marine Science,3.7,Shaw et al. 2021,
silver carp,Hypophthalmichthys molitrix ,Xenocyprididae,freshwater,USA,116,53,46,N,,NT,filter feeder,resident,,,Biological Invasions,3.1,Fritts et al. 2021,
bighead carp,Hypophthalmichthys nobilis ,Xenocyprididae,freshwater,USA,99,38,38,N,,DD,filter feeder,resident,,,Biological Invasions,3.1,Fritts et al. 2021,
grass carp,Ctenopharyngodon idella ,Xenocyprididae,freshwater,USA,47,18,38,N,,LC,herbivory,resident,,,Biological Invasions,3.1,Fritts et al. 2021,
lake sturgeon,Acipenser fulvescens,Acipenseridae,freshwater,USA,56,26,46,Y,,EN,invertivory,resident,,,Biological Invasions,3.1,Fritts et al. 2021,
bigmouth buffalo,Ictiobus cyprinellus,Catostomidae,freshwater,USA,24,11,46,N,,LC,filter feeder,resident,,,Biological Invasions,3.1,Fritts et al. 2021,
paddlefish,Polyodon spathula,Polyodontidae,freshwater,USA,45,28,62,Y,,VU,filter feeder,resident,,,Biological Invasions,3.1,Fritts et al. 2021,
blue sucker,Cycleptus elongatus,Catostomidae,freshwater,USA,23,4,17,Y,PA,LC,,resident,,,Biological Invasions,3.1,Fritts et al. 2021,
Flathead catfish,Pylodictis olivaris,Ictaluridae,freshwater,USA,25,4,16,N,,LC,piscivory,resident,,,Biological Invasions,3.1,Fritts et al. 2021,
channel catfish,Ictalurus punctatus,Ictaluridae,freshwater,USA,20,3,15,N,,LC,piscivory; invertivory,resident,,,Biological Invasions,3.1,Fritts et al. 2021,
American eel,Anguilla rostrata,Anguillidae,freshwater,USA,2,1,50,Y,,EN,piscivory; invertivory,catadromous,,,Biological Invasions,3.1,Fritts et al. 2021,
walleye,Sander vitreus,Percidae,freshwater,USA,17,0,0,N,,LC,piscivory,resident,,,Biological Invasions,3.1,Fritts et al. 2021,
sauger,Sander canadensis,Percidae,freshwater,USA,3,0,0,N,,LC,piscivory,resident,,,Biological Invasions,3.1,Fritts et al. 2021,
blue catfish,Ictalurus furcatus,Ictaluridae,marine,USA,1,0,0,N,,LC,piscivory; invertivory,resident,,,Biological Invasions,3.1,Fritts et al. 2021,
Aligator Gar,Atractosteus spatula,Lepisosteidae,freshwater,USA,16,15,94,Y,,LC,piscivory,resident,1713,,North American Journal of Fisheries Management,1.1,Lochman et al. 2021,
American shad,Alosa spaidissima,Culpeidae,freshwater,USA,266,212,80,Y,,LC,filter feeder,anadromous,494,adult; juveniles,North American Journal of Fisheries Management,1.1,Mack et al. 2021,
Whitespotted eagle ray,Aetobatus narinari,Aetobatidae,marine,USA,54,30,56,N,,EN,invertivory,resident,1485,,Marine Biology,2.5,DeGroot et al. 2021,
grass carp,Ctenopharyngodon idella ,Xenocyprididae,freshwater,USA,50,23,46,N,,LC,herbivory,resident,909,adult,Journal of Great Lakes Research,2.2,Harris et al. 2021,
common snook,Centropomus undecimalis,Centropomidae,freshwater,USA,83,41,49,Y,,LC,piscivory,amphidromus,844.1,adult,Marine Ecology Progress Series,2.6,Ault et al. 2021,
atlantic sturgeon,Acipenser oxyrinchus,Acipenseridae,freshwater,USA,50,38,76,Y,,VU,invertivory,anadromous,,juvenile,Fishery Bulletin,0.8,Fox et al. 2021,
atlantic sturgeon,Acipenser oxyrinchus,Acipenseridae,freshwater,USA,74,,,Y,,VU,invertivory,anadromous,1371,,Journal of Nortwest Atlantic Fishery Science,0.67,Flanigan et al. 2021,
walleye,Sander vitreus,Percidae,freshwater,USA,357,,,N,,LC,piscivory,resident,,adult,Canadian Journal of Fisheries and Aquatic Sciences,2.5,Munaweera et al. 2021,
American eel,Anguilla rostrata,Anguillidae,freshwater,USA,355,341,96,Y,,EN,piscivory; invertivory,catadromous,615,,Canadian Journal of Fisheries and Aquatic Sciences,2.5,Mesinger et al. 2021,
Chinook salmon,Oncorhynchus tshawytscha,Salmonidae,freshwater,USA,29,17,59,Y,,NE,piscivory; invertivory,anadromous,510,,Canadian Journal of Fisheries and Aquatic Sciences,2.5,Ivanova et al. 2021,
Chinook salmon,Oncorhynchus tshawytscha,Salmonidae,freshwater,USA,4635,3418,74,Y,,NE,piscivory; invertivory,anadromous,,juvenile,San Francisco Estuary and Watershed Science,1.9,Romine et al. 2021,
Atlantic tarpon,Megalops atlanticus,Megalopidae,marine,USA,34,,,N,,VU,piscivory,resident,,,Marine Ecology Progress Series,2.6,Friess et al. 2021,
blacktip shark,Carcharhinus limbatus,Carcharhinidae,marine,USA,17,,,Y,,VU,piscivory,resident,,,Marine Ecology Progress Series,2.6,Friess et al. 2021,
bonnethead,Sphyrna tiburo,Sphyrnidae,marine,USA,4,,,Y,,EN,piscivory; invertivory,resident,,,Marine Ecology Progress Series,2.6,Friess et al. 2021,
bull shark,Carcharhinus leucas,Carcharhinidae,marine,USA,40,,,Y,,VU,piscivory,resident,,,Marine Ecology Progress Series,2.6,Friess et al. 2021,
cobia,Rachycentron canadum,Rachycentridae,marine,USA,18,,,N,,LC,piscivory; invertivory,resident,,,Marine Ecology Progress Series,2.6,Friess et al. 2021,
common snook,Centropomus undecimalis,Centropomidae,marine,USA,126,,,Y,,LC,piscivory,amphidromus,,,Marine Ecology Progress Series,2.6,Friess et al. 2021,
gafftopsail catfish,Bagre marinus,Ariidae,marine,USA,12,,,N,PA,LC,omnivory,resident,,,Marine Ecology Progress Series,2.6,Friess et al. 2021,
Gag grouper,Mycteroperca microlepsis,Epinephelidae,marine,USA,29,,,Y,PA,VU,piscivory; invertivory,resident,,,Marine Ecology Progress Series,2.6,Friess et al. 2021,
goliath grouper,Epinephelus itajara,Epinephelidae,marine,USA,14,,,Y,,VU,piscivory; invertivory,resident,,,Marine Ecology Progress Series,2.6,Friess et al. 2021,
gray snapper,Lutjanus griseus,Lutjanidae,marine,USA,44,,,Y,,LC,piscivory; invertivory,resident,,,Marine Ecology Progress Series,2.6,Friess et al. 2021,
great hammerhead,Sphyrna mokarran,Sphyrnidae,marine,USA,5,,,Y,,CR,piscivory,resident,,,Marine Ecology Progress Series,2.6,Friess et al. 2021,
greater amberjack,Seriola dumerili,Carangidae,marine,USA,17,,,Y,,LC,piscivory; invertivory,resident,,,Marine Ecology Progress Series,2.6,Friess et al. 2021,
gray tiggerfish,Balistes capriscus,Balistidae,marine,USA,13,,,Y,,VU,invertivory,resident,,,Marine Ecology Progress Series,2.6,Friess et al. 2021,
gulf sturgeon,Acipenser oxyrinchus,Acipenseridae,marine,USA,82,,,Y,,VU,invertivory,anadromous,,,Marine Ecology Progress Series,2.6,Friess et al. 2021,
Hardhead catfish,Ariopsis felis,Ariidae,marine,USA,8,,,N,,LC,omnivory,resident,,,Marine Ecology Progress Series,2.6,Friess et al. 2021,
largemouth bass,Micropterus salmonides,Centrarchidae,marine,USA,45,,,N,,LC,piscivory,resident,,,Marine Ecology Progress Series,2.6,Friess et al. 2021,
lemon shark,Negaprion brevirostris,Carcharhinidae,marine,USA,2,,,Y,,VU,piscivory,resident,,,Marine Ecology Progress Series,2.6,Friess et al. 2021,
nurse shark,Ginglymostoma cirratum,Ginglymostomatidae,marine,USA,1,,,Y,,VU,piscivory; invertivory,resident,,,Marine Ecology Progress Series,2.6,Friess et al. 2021,
red drum,Sciaenops ocellatus,Sciaenidae,marine,USA,44,,,Y,,LC,piscivory; invertivory,resident,,,Marine Ecology Progress Series,2.6,Friess et al. 2021,
red grouper,Epinephelus morio,Epinephlidae,marine,USA,26,,,Y,,VU,piscivory; invertivory,resident,,,Marine Ecology Progress Series,2.6,Friess et al. 2021,
Sandbar shark,Carcharhinus plumbeus,Carcharhinidae,marine,USA,2,,,Y,,EN,piscivory,resident,,,Marine Ecology Progress Series,2.6,Friess et al. 2021,
scamp,Mycteroperca phenax,Epinephelidae,marine,USA,2,,,Y,,DD,piscivory,resident,,,Marine Ecology Progress Series,2.6,Friess et al. 2021,
sheepshead,Archosargus probatocephalus,Sparidae,marine,USA,1,,,Y,,LC,invertivory,resident,,,Marine Ecology Progress Series,2.6,Friess et al. 2021,
smalltooth sawfish,Pristis pectinata,Pristidae,marine,USA,163,,,Y,,CR,piscivory,resident,,,Marine Ecology Progress Series,2.6,Friess et al. 2021,
southern kingfish,Mentricirrhus americanus,Sciaenidae,marine,USA,3,,,N,,LC,piscivory; invertivory,resident,,,Marine Ecology Progress Series,2.6,Friess et al. 2021,
tiger shark,Galeocerdo cuvier,Carcharhinidae,marine,USA,3,,,N,,NT,piscivory,resident,,,Marine Ecology Progress Series,2.6,Friess et al. 2021,
white shark,Carcharodon carcharias,Lamnidae,marine,USA,11,,,Y,,VU,piscivory,resident,,,Marine Ecology Progress Series,2.6,Friess et al. 2021,
Whitespotted eagle ray,Aetobatus narinari,Aetobatidae,marine,USA,33,,,N,,EN,invertivory,resident,,,Marine Ecology Progress Series,2.6,Friess et al. 2021,
common snook,Centropomus undecimalis,Centropomidae,freshwater,USA,74,,,Y,,LC,piscivory,amphidromus,,,Ecosphere,2.7,Rezek et al. 2020,
black sea bass,Centropristis striata,Serranidae,marine,USA,143,,,Y,,LC,invertivory,resident,258,,PlosONE,3.7,Wiernicki et al. 2020,
Chinook salmon,Oncorhynchus tshawytscha,Salmonidae,freshwater,USA,1205,1162,96,Y,,NE,piscivory; invertivory,anadromous,138.5,,Environmental Biology of Fishes,1.6,Steel et al. 2020,
striped mullet,Mugil cephalus,Mugilidae,marine,USA,32,18,56,Y,PA,LC,filter feeder,resident,313,adult,Marine and Coastal Fisheries,1.7,Myers et al. 2020,
black gropuer,Mycteroperca bonaci,Epinephelidae,marine,USA,10,8,80,Y,,NT,piscivory,resident,633,adult; juveniles,Marine and Coastal Fisheries,1.7,Keller et al. 2020,
Nassau grouper,Epinephelus striatus,Epinephelidae,marine,USA,5,5,100,Y,,CR,piscivory,resident,564,adult; juveniles,Marine and Coastal Fisheries,1.7,Keller et al. 2020,
Gag grouper,Mycteroperca microlepsis,Epinephelidae,marine,USA,2,2,100,Y,PA,VU,piscivory; invertivory,resident,680,adult; juveniles,Marine and Coastal Fisheries,1.7,Keller et al. 2020,
yellowfin grouper,Mycteroperca venenosa,Epinephelidae,marine,USA,1,1,100,N,,NT,piscivory,resident,570,adult; juveniles,Marine and Coastal Fisheries,1.7,Keller et al. 2020,
American shad,Alosa spaidissima,Culpeidae,freshwater,USA,98,59,60,Y,,LC,filter feeder,anadromous,486.5,adult,Marine and Coastal Fisheries,1.7,Gahagan & Bailey 2020,
weakfish,Cynoscion regalis,Sciaenidae,marine,USA,342,284,83,Y,,EN,piscivory; invertivory,resident,361,,Marine and Coastal Fisheries,1.7,Krause et al. 2020,
lake sturgeon,Acipenser fulvescens,Acipenseridae,freshwater,USA,21,,,Y,,EN,invertivory,resident,1454,adult,Journal of Applied Ichthyology,1.2,Harris et al. 2020,
yellowtail snapper,Ocyurus chrysurus,Lutjanidae,marine,USA,15,8,53,N,MPA,DD,piscivory; invertivory,resident,294,,Marine and Coastal Fisheries,1.7,Novak et al. 2020,
red snapper,Lutjanus campechanus,Lutjanidae,marine,USA,71,59,83,Y,,VU,piscivory; invertivory,resident,563,,Marine Ecology Progress Series,2.6,Everett et al. 2020,
red drum,Sciaenops ocellatus,Sciaenidae,marine,USA,33,,,Y,,LC,piscivory; invertivory,resident,724,,Global Ecology and Conservation,4,Reyier et al. 2020,
black drum,Pogonias cromis,Sciaenidae,marine,USA,30,,,N,,LC,piscivory; invertivory,resident,668,,Global Ecology and Conservation,4,Reyier et al. 2020,
seatrout,Cynoscion nebulosus,Sciaenidae,marine,USA,23,,,Y,,LC,piscivory; invertivory,resident,422,,Global Ecology and Conservation,4,Reyier et al. 2020,
yellow perch,Perca flavescens,Percidae,freshwater,USA,60,19,32,N,,LC,piscivory; invertivory,resident,146.5,,Animal Biotelemetry,2.7,Weinz et al. 2020,
lionfish,Pterois miles,Scorpaenidae,marine,USA,20,20,100,N,,LC,piscivory,resident,339,,Marine Biology,2.5,Dahl & Patterson 2020,
blue sucker,Cycleptus elongatus,Catostomidae,freshwater,USA,120,66,55,Y,PA,LC,,resident,572,adult,Journal of Fish Biology,2,Dyer & Brewer 2020,
common snook,Centropomus undecimalis,,freshwater,USA,22,16,73,Y,,LC,piscivory,amphidromus,557,adult,Estuaries and Coasts,2.8,Massie et al. 2020,
striped bass,Morone saxatilis,Moronidae,marine,USA,315,129,41,N,,LC,piscivory,resident,86.625,adult,PlosONE,3.7,Rothermel et al. 2020,
atlantic sturgeon,Acipenser oxyrinchus,Acipenseridae,marine,USA,352,174,49,Y,,VU,invertivory,anadromous,205,adult,PlosONE,3.7,Rothermel et al. 2020,
Chinook salmon,Oncorhynchus tshawytscha,Salmonidae,freshwater,USA,189,135,71,Y,,NE,piscivory; invertivory,anadromous,,adult,Marine Ecology Progress Series,2.6,Rub & Sandford 2020,
rainbow trout,Oncorhynchus mykiss,Salmonidae,freshwater,USA,35,26,74,N,,NE,piscivory; invertivory,anadromous,175,juvenile,Environmental Biology of Fishes,1.6,Huber & Carlson 2020,
green sturgeon,Acipenser medirostris,Acipenseridae,marine,USA,41,41,100,Y,,EN,invertivory,anadromous,1245,adult; juveniles,Environmental Biology of Fishes,1.6,Miller et al. 2020,
white sturgeon,Acipenser transmontanus,Acipenseridae,freshwater,USA,160,151,94,Y,,VU,piscivory; invertivory,anadromous,1245,adult; juveniles,Environmental Biology of Fishes,1.6,Miller et al. 2020,
Chinook salmon,Oncorhynchus tshawytscha,Salmonidae,freshwater,USA,1097,,,Y,,NE,piscivory; invertivory,anadromous,86.88,juvenile,Environmental Biology of Fishes,1.6,Singer et al. 2020,
striped bass,Morone saxatilis,Moronidae,marine,USA,100,,,N,,LC,piscivory,resident,,adult; juveniles,PlosONE,3.7,Secor et al. 2020,
Chinook salmon,Oncorhynchus tshawytscha,Salmonidae,freshwater,USA,300,170,57,Y,,NE,piscivory; invertivory,anadromous,84.55,juvenile,Environmental Biology of Fishes,1.6,Zeug et al. 2020,
Chinook salmon,Oncorhynchus tshawytscha,Salmonidae,freshwater,USA,334,,,Y,,NE,piscivory; invertivory,anadromous,85.38333333,juvenile,Environmental Biology of Fishes,1.6,Notch et al. 2020,
Chinook salmon,Oncorhynchus tshawytscha,Salmonidae,freshwater,USA,3016,77,3,N,,NE,piscivory; invertivory,anadromous,109.6,juvenile,Environmental Biology of Fishes,1.6,Buchanan & Skalski 2020,
pacific lamprey,Entosphenus tridentatus,Petromyzontidae,marine,USA,784,770,98,Y,,LC,parasitic,anadromous,,,North American Journal of Fisheries Management,1.1,Keefer et al. 2020,
muskellunge,Esox masquinongy,Esocidae,freshwater,USA,38,,,N,,LC,piscivory,resident,165.5,juvenile,Ecology of Freshwater Fish,1.8,Walton-Rabideau et al. 2020,
nothern pike,Esox lucius,Esocidae,freshwater,USA,38,,,N,,LC,piscivory,resident,260,juvenile,Ecology of Freshwater Fish,1.8,Walton-Rabideau et al. 2020,
sea lamprey,Petromyzon marinus,Petromyzontidae,freshwater,USA,27,27,100,N,,LC,parasitic; filter feeders,anadromous,505,,Animal Biotelemetry,2.7,Lowe et al. 2020,
lake trout,Salvelinus namaycush,Salmonidae,freshwater,USA,344,317,92,N,,NE,piscivory; invertivory,resident,554,,Conservation Science and Practice,3.25,Gutowsky et al. 2020,
red drum,Sciaenops ocellatus,Sciaenidae,marine,USA,79,69,87,Y,,LC,piscivory; invertivory,resident,420,,Marine and Coastal Fisheries,1.7,Nelson & Powers 2020,
permit,Trachinotus falcatus,Carangidae,marine,USA,101,45,45,N,,LC,piscivory; invertivory,resident,,,Marine Ecology Progress Series,2.6,Brownscombe et al. 2020,
smallmouth bass,Micropterus dolomieu,Centrarchidae,freshwater,USA,23,19,83,N,,LC,piscivory,resident,466,adult,Journal of Great Lakes Research,2.2,Slagle et al. 2020,
Chinook salmon,Oncorhynchus tshawytscha,Salmonidae,freshwater,USA,2525,,,Y,,NE,piscivory; invertivory,anadromous,,juvenile,San Francisco Estuary and Watershed Science,1.9,Hance et al. 2020,
lake sturgeon,Acipenser fulvescens,Acipenseridae,freshwater,USA,216,44,20,Y,,EN,invertivory,resident,417,juvenile,Canadian Journal of Fisheries and Aquatic Sciences,2.5,Hegna et al. 2020,
red drum,Sciaenops ocellatus,Sciaenidae,marine,USA,31,28,90,Y,,LC,piscivory; invertivory,resident,628,adult; juveniles,Marine Ecology Progress Series,2.6,Burnsed et al. 2020,
southern flounder,Paralichthys lethostigma,Paralichthyidae,marine,USA,271,231,85,Y,,NT,piscivory; invertivory,resident,439.5,,Canadian Journal of Fisheries and Aquatic Sciences,2.5,Schaffel et al. 2020,
lake sturgeon,Acipenser fulvescens,Acipenseridae,freshwater,USA,283,247,87,Y,,EN,invertivory,resident,1221.4,adult,Ecosphere,2.7,Colborne et al. 2019,
Atlantic cod,Gadus morhua,Gadidae,marine,USA,317,294,93,N,,VU,piscivory,resident,665,adult,ICES Journal of Marine Science,3.5,Zemeckies et al. 2019,
walleye,Sander vitreus,Percidae,freshwater,USA,492,22,4,N,,LC,piscivory,resident,560,adult,Journal of Great Lakes Research,2.2,Hayden et al. 2019,
Pacific sanddab,Citharichthys sordidus,Cyclopsettidae,marine,USA,59,,,Y,,LC,invertivory,resident,241,,Marine Pollution Bulletin,5.8,Burns et al. 2019,
hornyhead turbot,Pleuronichthys verticalis,Pleuronectidae,marine,USA,17,,,N,,LC,invertivory,resident,209,,Marine Pollution Bulletin,5.8,Burns et al. 2019,
English sole,Parophrys vetulus,Pleuronectidae,marine,USA,15,,,Y,,LC,invertivory,resident,265.2,,Marine Pollution Bulletin,5.8,Burns et al. 2019,
Vermilion rockfish,Sebastes miniatus,Sebastidae,marine,USA,52,,,,,NE,,resident,323,,Marine Pollution Bulletin,5.8,Burns et al. 2019,
Chinook salmon,Oncorhynchus tshawytscha,Salmonidae,freshwater,USA,799,613,77,Y,,NE,piscivory; invertivory,anadromous,,,Fisheries Research,2.4,Maxwell et al. 2019,
kelp bass,Paralabrax clathratus,Serranidae,marine,USA,45,30,67,Y,,LC,piscivory; invertivory,resident,311,,Fisheries Management and Ecology,2,Logan & Lowe 2019,
barred sand bass,Paralabrax nebulifer,Serranidae,marine,USA,45,24,53,Y,,LC,piscivory; invertivory,resident,326,,Fisheries Management and Ecology,2,Logan & Lowe 2019,
California sheephead,Semicossyphus pulcher ,Labridae,marine,USA,45,38,84,Y,,VU,invertivory,resident,357,,Fisheries Management and Ecology,2,Logan & Lowe 2019,
gray tiggerfish,Balistes capriscus,Balistidae,marine,USA,30,24,80,Y,,VU,invertivory,resident,291,,Scientific Reports,4.6,Becheler et al. 2019,
striped bass,Morone saxatilis,Moronidae,marine,USA,59,,,N,,LC,piscivory,resident,524,adult,Marine Ecology Progress Series,2.6,Taylor et al. 2019,
sablefish,Anoplopoma fimbria,Anoplopomatidae,marine,USA,108,103,95,,,NE,piscivory; invertivory,resident,,juvenile,OCEANS 2019 MTS/IEEE Seattle,,Staines et al. 2019,
red snapper,Lutjanus campechanus,Lutjanidae,marine,USA,55,,,Y,,VU,piscivory; invertivory,resident,532,adult,Journal of Experimental Marine Biology and Ecology,2,Getz & Kline 2019,
spottec seatrout,Cynoscion nebulosus,Sciaenidae,marine,USA,43,41,95,Y,,LC,piscivory; invertivory,resident,448.4,adult,Marine Ecology Progress Series,2.6,Zarada er al. 2019,
green sturgeon,Acipenser medirostris,Acipenseridae,marine,USA,6,5,83,Y,,EN,invertivory,anadromous,551.4,juvenile,Environmental Biology of Fishes,1.6,Thomas et al. 2019,
American shad,Alosa spaidissima,Culpeidae,freshwater,USA,120,,,Y,,LC,filter feeder,anadromous,481,,Transactions of the American Fisheries Society,1.4,Raabe et al. 2019,
Flathead catfish,Pylodictis olivaris,Ictaluridae,freshwater,USA,40,,,N,,LC,piscivory,resident,746,,Transactions of the American Fisheries Society,1.4,Raabe et al. 2019,
Chinook salmon,Oncorhynchus tshawytscha,Salmonidae,freshwater,USA,19,,0,Y,,NE,piscivory; invertivory,anadromous,230,juvenile,Applied Sciences,2.9,Eier et al. 2019,
permit,Trachinotus falcatus,Carangidae,marine,USA,42,27,64,N,,LC,piscivory; invertivory,resident,,,Marine Policy,3.8,Brownscombe et al. 2019,
june sucker ,Chasmites liorus mictus,Catostomidae,freshwater,USA,88,86,98,Y,,CR,invertivory,resident,235.3333333,juvenile,Western North American Naturalist,0.484,Ehlo et al. 2019,
walleye,Sander vitreus,Percidae,freshwater,USA,39,20,51,N,,LC,piscivory,resident,,,Transactions of the American Fisheries Society,1.4,Gorman et al. 2019,
common snook,Centropomus undecimalis,Centropomidae,freshwater,USA,96,82,85,Y,,LC,piscivory,amphidromus,719,,Fisheries Research,2.4,Boucek et al. 2019,
red drum,Sciaenops ocellatus,Sciaenidae,marine,USA,120,92,77,Y,,LC,piscivory; invertivory,resident,,adult,ICES Journal of Marine Science,3.5,Lowerre-Barbieri et al. 2019,
black sea bass,Acathopagrus schlegelii,Sparidae,marine,USA,45,44,98,N,,LC,omnivory,resident,265.6,,ICES Journal of Marine Science,3.5,Secor et al. 2019,
paddlefish,Polyodon spathula,Polyodontidae,freshwater,USA,113,110,97,Y,,VU,filter feeder,resident,,adult,North American Journal of Fisheries Management,1.1,Schwinghamer et al. 2019,
red drum,Sciaenops ocellatus,Sciaenidae,marine,USA,11,8,73,Y,,LC,piscivory; invertivory,resident,581,adult,Fisheries Research,2.4,Hall et al. 2019,
striped bass,Morone saxatilis,Moronidae,marine,USA,101,63,62,N,,LC,piscivory,resident,488,,Estuaries and Coasts,2.8,Sabal et al. 2019,
green sturgeon,Acipenser medirostris,Acipenseridae,marine,USA,134,89,66,Y,,EN,invertivory,anadromous,1717,adult,Environmental Biology of Fishes,1.6,Chapman et al. 2019,
walleye,Sander vitreus,Percidae,freshwater,USA,337,147,44,N,,LC,piscivory,resident,599,adult,Canadian Journal of Fisheries and Aquatic Sciences,2.5,Bade et al. 2019,
Chinook salmon,Oncorhynchus tshawytscha,Salmonidae,freshwater,USA,1709,,,Y,,NE,piscivory; invertivory,anadromous,,juvenile,Canadian Journal of Fisheries and Aquatic Sciences,2.5,Henderson et al. 2019,
walleye,Sander vitreus,Percidae,freshwater,USA,30,,0,N,,LC,piscivory,resident,469,adult,Canadian Journal of Fisheries and Aquatic Sciences,2.5,Faust et al. 2019,
queen triggerfish,Balistes vetula,Balistidae,marine,USA,60,65,108,Y,,NT,invertivory,resident,324,,Marine Ecology Progress Series,2.6,Bryan et al. 2019,
shortnose sturgeon,Acipenser brevirostrum,Acipenseridae,marine,USA,101,97,96,Y,,VU,invertivory,anadromous,739.8,adult,Transactions of the American Fisheries Society,1.4,Pendleton et al. 2019,
red snapper,Lutjanus campechanus,Lutjanidae,marine,USA,15,13,87,Y,,VU,piscivory; invertivory,resident,419,,Fisheries Research,2.4,Froehlich et al. 2019,